epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,0,,0.0,,0.605374276638031,,
0,1,,0.10000000149011612,,0.42635130882263184,,
0,2,,0.0,,0.6648313999176025,,
0,3,,0.0,,0.6514386534690857,,
0,4,,0.10000000149011612,,0.3459707796573639,,
0,5,,0.0,,0.6380764842033386,,
0,6,,0.10000000149011612,,0.5105907320976257,,
0,7,,0.0,,0.5187706351280212,,
0,8,,0.0,,0.6850574016571045,,
0,9,,0.10000000149011612,,0.5139731764793396,,
0,10,,0.0,,0.5323032736778259,,
0,11,,0.0,,0.49968019127845764,,
0,12,,0.0,,0.699138343334198,,
0,13,,0.0,,0.5855957865715027,,
0,14,,0.0,,0.7268403172492981,,
0,15,,0.0,,0.4723132252693176,,
0,16,,0.0,,0.39019665122032166,,
0,17,,0.0,,0.29977765679359436,,
0,18,,0.0,,0.6441876292228699,,
0,19,,0.10000000149011612,,0.46854168176651,,
0,20,,0.0,,0.35946354269981384,,
0,20,,,,,0.019607843831181526,0.6608058214187622
0,20,0.02427184395492077,,0.538577139377594,,,
1,21,,0.0,,0.5565858483314514,,
1,22,,0.0,,0.5370650887489319,,
1,23,,0.10000000149011612,,0.5066477060317993,,
1,24,,0.0,,0.6549448370933533,,
1,25,,0.0,,0.6007825136184692,,
1,26,,0.10000000149011612,,0.44538021087646484,,
1,27,,0.10000000149011612,,0.6122995615005493,,
1,28,,0.0,,0.41829511523246765,,
1,29,,0.10000000149011612,,0.6878439784049988,,
1,30,,0.10000000149011612,,0.4966307580471039,,
1,31,,0.0,,0.4538472294807434,,
1,32,,0.20000000298023224,,0.5905000567436218,,
1,33,,0.0,,0.5674794316291809,,
1,34,,0.0,,0.6537222862243652,,
1,35,,0.0,,0.39508137106895447,,
1,36,,0.10000000149011612,,0.3994733989238739,,
1,37,,0.0,,0.49033984541893005,,
1,38,,0.0,,0.6611180305480957,,
1,39,,0.10000000149011612,,0.39557018876075745,,
1,40,,0.0,,0.4389131963253021,,
1,41,,0.0,,0.8703204989433289,,
1,41,,,,,0.05882352963089943,0.6623613834381104
1,41,0.04368932172656059,,0.5380929112434387,,,
2,42,,0.10000000149011612,,0.5947978496551514,,
2,43,,0.0,,0.6546177268028259,,
2,44,,0.0,,0.5494402647018433,,
2,45,,0.0,,0.6595897078514099,,
2,46,,0.0,,0.3555954694747925,,
2,47,,0.0,,0.47285524010658264,,
2,48,,0.0,,0.49490872025489807,,
2,49,,0.0,,0.35553473234176636,,
2,50,,0.0,,0.7180467844009399,,
2,51,,0.0,,0.638109028339386,,
2,52,,0.0,,0.43177032470703125,,
2,53,,0.10000000149011612,,0.5106760859489441,,
2,54,,0.0,,0.6464648842811584,,
2,55,,0.10000000149011612,,0.49572643637657166,,
