epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,0,,0.0,,0.44578513503074646,,
0,1,,0.20000000298023224,,0.6580942273139954,,
0,2,,0.0,,0.5514679551124573,,
0,3,,0.0,,0.6008588671684265,,
0,4,,0.10000000149011612,,0.46230679750442505,,
0,5,,0.0,,0.4738517701625824,,
0,6,,0.0,,0.38675570487976074,,
0,7,,0.0,,0.44234171509742737,,
0,8,,0.0,,0.5354295372962952,,
0,9,,0.0,,0.5590435266494751,,
0,10,,0.0,,0.5342804789543152,,
0,11,,0.0,,0.47071051597595215,,
0,12,,0.0,,0.7861461043357849,,
0,13,,0.0,,0.47022518515586853,,
0,14,,0.0,,0.5750980377197266,,
0,15,,0.0,,0.3593834638595581,,
0,16,,0.0,,0.6014034152030945,,
0,17,,0.20000000298023224,,0.5585278868675232,,
0,18,,0.0,,0.6231630444526672,,
0,19,,0.0,,0.6846620440483093,,
0,20,,0.0,,0.5228536128997803,,
0,20,,,,,0.019607843831181526,0.6609382033348083
0,20,0.02427184395492077,,0.5385071635246277,,,
1,21,,0.0,,0.49745139479637146,,
1,22,,0.0,,0.5207239985466003,,
1,23,,0.0,,0.6949979662895203,,
1,24,,0.10000000149011612,,0.5066227912902832,,
1,25,,0.0,,0.3815053105354309,,
1,26,,0.10000000149011612,,0.6577630639076233,,
1,27,,0.10000000149011612,,0.7411432266235352,,
1,28,,0.0,,0.43602582812309265,,
1,29,,0.10000000149011612,,0.41724321246147156,,
1,30,,0.0,,0.5464383363723755,,
1,31,,0.10000000149011612,,0.3732762038707733,,
1,32,,0.0,,0.42813441157341003,,
1,33,,0.0,,0.684165358543396,,
1,34,,0.0,,0.4996117651462555,,
1,35,,0.0,,0.6800529956817627,,
1,36,,0.0,,0.4623280465602875,,
1,37,,0.10000000149011612,,0.43456026911735535,,
1,38,,0.0,,0.5548773407936096,,
1,39,,0.0,,0.6611706018447876,,
1,40,,0.0,,0.5264245271682739,,
1,41,,0.0,,0.6386346220970154,,
1,41,,,,,0.019607843831181526,0.6601994633674622
1,41,0.029126213863492012,,0.5382378101348877,,,
2,42,,0.0,,0.5048465132713318,,
2,43,,0.10000000149011612,,0.43856745958328247,,
2,44,,0.0,,0.6022761464118958,,
2,45,,0.0,,0.8254756331443787,,
2,46,,0.0,,0.4666007161140442,,
2,47,,0.0,,0.3578183352947235,,
2,48,,0.0,,0.6853267550468445,,
2,49,,0.0,,0.44283533096313477,,
2,50,,0.0,,0.4163455069065094,,
2,51,,0.0,,0.4059774875640869,,
2,52,,0.0,,0.5382772088050842,,
2,53,,0.10000000149011612,,0.6470124125480652,,
2,54,,0.0,,0.5495103001594543,,
2,55,,0.10000000149011612,,0.7242422103881836,,
2,56,,0.0,,0.6142292022705078,,
2,57,,0.20000000298023224,,0.6288588643074036,,
2,58,,0.0,,0.4136786460876465,,
2,59,,0.0,,0.6690695881843567,,
2,60,,0.20000000298023224,,0.42389509081840515,,
2,61,,0.0,,0.3162214457988739,,
2,62,,0.0,,0.6853564977645874,,
2,62,,,,,0.05882352963089943,0.6606932878494263
2,62,0.033980581909418106,,0.5379746556282043,,,
3,63,,0.10000000149011612,,0.5618472099304199,,
3,64,,0.10000000149011612,,0.6131075024604797,,
3,65,,0.0,,0.5319164395332336,,
3,66,,0.0,,0.3829076588153839,,
3,67,,0.0,,0.6244110465049744,,
3,68,,0.0,,0.7114541530609131,,
3,69,,0.10000000149011612,,0.5833877921104431,,
3,70,,0.20000000298023224,,0.5823867917060852,,
3,71,,0.0,,0.41775208711624146,,
3,72,,0.10000000149011612,,0.5268876552581787,,
3,73,,0.0,,0.4032754600048065,,
3,74,,0.10000000149011612,,0.5189489722251892,,
3,75,,0.20000000298023224,,0.653139591217041,,
3,76,,0.10000000149011612,,0.5169970393180847,,
3,77,,0.0,,0.46898937225341797,,
3,78,,0.0,,0.8369043469429016,,
3,79,,0.0,,0.3377426862716675,,
3,80,,0.0,,0.5293866395950317,,
3,81,,0.0,,0.56723952293396,,
3,82,,0.10000000149011612,,0.5280265808105469,,
3,83,,0.0,,0.3041313886642456,,
3,83,,,,,0.03921568766236305,0.6597944498062134
3,83,0.05339805781841278,,0.5378246307373047,,,
4,84,,0.0,,0.4231613278388977,,
4,85,,0.10000000149011612,,0.4074925482273102,,
4,86,,0.0,,0.5283968448638916,,
4,87,,0.0,,0.593326985836029,,
4,88,,0.0,,0.6668061017990112,,
4,89,,0.10000000149011612,,0.7118918299674988,,
4,90,,0.0,,0.8475279211997986,,
4,91,,0.10000000149011612,,0.4490461051464081,,
4,92,,0.10000000149011612,,0.4886798858642578,,
4,93,,0.10000000149011612,,0.5546087622642517,,
4,94,,0.10000000149011612,,0.5023380517959595,,
4,95,,0.0,,0.497262567281723,,
4,96,,0.20000000298023224,,0.7251154780387878,,
4,97,,0.0,,0.4393636882305145,,
4,98,,0.0,,0.5420498251914978,,
4,99,,0.0,,0.6985389590263367,,
4,100,,0.0,,0.47742071747779846,,
4,101,,0.0,,0.515215277671814,,
4,102,,0.0,,0.41219305992126465,,
4,103,,0.10000000149011612,,0.3834500312805176,,
4,104,,0.0,,0.3486981987953186,,
4,104,,,,,0.03921568766236305,0.6585411429405212
4,104,0.04368932172656059,,0.5375293493270874,,,
5,105,,0.0,,0.5304969549179077,,
5,106,,0.10000000149011612,,0.6347492337226868,,
5,107,,0.10000000149011612,,0.37035539746284485,,
5,108,,0.0,,0.5269374251365662,,
5,109,,0.10000000149011612,,0.4160073399543762,,
5,110,,0.10000000149011612,,0.6009145975112915,,
5,111,,0.0,,0.470430850982666,,
5,112,,0.10000000149011612,,0.40110331773757935,,
5,113,,0.0,,0.48568859696388245,,
5,114,,0.0,,0.5471575856208801,,
5,115,,0.0,,0.6254631876945496,,
5,116,,0.20000000298023224,,0.6556340456008911,,
5,117,,0.10000000149011612,,0.9331653714179993,,
5,118,,0.10000000149011612,,0.5869717597961426,,
5,119,,0.10000000149011612,,0.5642828941345215,,
5,120,,0.10000000149011612,,0.6235071420669556,,
5,121,,0.0,,0.48669955134391785,,
5,122,,0.0,,0.48535728454589844,,
5,123,,0.0,,0.4332040250301361,,
5,124,,0.0,,0.4315686821937561,,
5,125,,0.1666666716337204,,0.42464226484298706,,
5,125,,,,,0.03921568766236305,0.6584302186965942
5,125,0.058252427726984024,,0.5371106863021851,,,
6,126,,0.0,,0.5121455192565918,,
6,127,,0.10000000149011612,,0.6180896759033203,,
6,128,,0.10000000149011612,,0.7328053712844849,,
6,129,,0.0,,0.4293574392795563,,
6,130,,0.0,,0.36233070492744446,,
6,131,,0.0,,0.44472581148147583,,
6,132,,0.20000000298023224,,0.5035960674285889,,
6,133,,0.0,,0.5043908357620239,,
6,134,,0.0,,0.3234206438064575,,
6,135,,0.0,,0.47610488533973694,,
6,136,,0.0,,0.4383736550807953,,
6,137,,0.20000000298023224,,0.687777042388916,,
6,138,,0.10000000149011612,,0.39435818791389465,,
6,139,,0.0,,0.7301428914070129,,
6,140,,0.0,,0.5225144624710083,,
